Team,Year,League,Win,Loss,Win_Percent,ERA,CG,SHO,SV,H,R,ER,HR,BB,SO,ERA_PLUS,FIP,WHIP,H9,W9,SO9
Milwaukee Brewers 22,22,National,86,76,0.5308641975,3.83,0,0,52,1238,688,615,190,521,1530,106,3.92,1.216,7.7,3.2,9.5
Chicago Cubs 22,22,National,74,88,0.4567901235,4,0,0,44,1342,731,642,207,540,1383,105,4.33,1.304,8.4,3.4,8.6
Cincinnati Reds 22,22,National,62,100,0.3827160494,4.86,1,1,31,1366,815,768,213,612,1414,90,4.59,1.39,8.6,3.9,8.9
Pittsburgh Pirates 22,22,National,62,100,0.3827160494,4.66,0,0,33,1432,817,735,164,586,1250,88,4.27,1.42,9.1,3.7,7.9
St.Louis Cardinals 22,22,National,93,69,0.5740740741,3.79,3,1,37,1335,637,605,146,489,1177,104,3.94,1.27,8.4,3.1,7.4
Los Angeles Dodgers 22,22,National,111,51,0.6851851852,2.8,1,1,43,1114,513,451,152,407,1465,145,3.45,1.048,6.9,2.5,9.1
Arizona Diamondbacks 22,22,National,74,88,0.4567901235,4.25,0,0,33,1345,740,676,191,504,1216,95,4.33,1.293,8.5,3.2,7.7
San Diego Padres 22,22,National,89,73,0.549382716,3.81,0,0,48,1263,660,611,173,468,1451,100,3.82,1.199,7.9,2.9,9
San Francisco Giants 22,22,National,81,81,0.5,3.85,1,0,39,1397,697,613,132,441,1370,103,3.43,1.283,8.8,2.8,8.6
Colorado Rockies 22,22,National,68,94,0.4197530864,5.06,1,1,43,1516,873,802,184,539,1187,92,4.38,1.442,9.6,3.4,7.5
Baltimore Orioles 22,22,American,83,79,0.512345679,3.97,2,1,46,1406,688,632,171,443,1214,99,4.03,1.29,8.8,2.8,7.6
Tampa Bay Rays 22,22,American,86,76,0.5308641975,3.41,0,0,44,1260,614,544,172,384,1384,108,3.68,1.145,7.9,2.4,8.7
Toronto Blue Jays 22,22,American,92,70,0.5679012346,3.87,0,0,46,1356,679,620,180,424,1390,100,3.85,1.235,8.5,2.6,8.7
New York Yankees 22,22,American,99,63,0.6111111111,3.3,1,1,47,1177,567,532,157,444,1459,120,3.56,1.117,7.3,2.8,9
Boston Red Sox 22,22,American,78,84,0.4814814815,4.53,5,2,39,1411,787,721,185,526,1346,93,4.17,1.354,8.9,3.3,8.5
Minnesota Twins 22,22,American,78,84,0.4814814815,3.98,0,0,28,1320,684,636,184,468,1336,99,4.03,1.244,8.3,2.9,8.4
Detroit Tigers 22,22,American,66,96,0.4074074074,4.04,0,0,38,1336,713,637,167,511,1195,97,4.16,1.301,8.5,3.2,7.6
Cleveland Guardians 22,22,American,92,70,0.5679012346,3.46,1,0,51,1252,634,560,172,435,1390,109,3.75,1.159,7.7,2.7,8.6
Chicago White Sox 22,22,American,81,81,0.5,3.92,2,1,48,1330,717,631,166,533,1450,101,3.81,1.287,8.3,3.3,9
Kansas City Royals 22,22,American,65,97,0.4012345679,4.7,0,0,33,1493,810,740,173,589,1191,87,4.42,1.47,9.5,3.7,7.6
Houston Astros 22,22,American,106,56,0.6543209877,2.9,3,1,53,1121,518,465,134,458,1524,132,3.28,1.092,7,2.9,9.5
Texas Rangers 22,22,American,68,94,0.4197530864,4.22,1,1,37,1345,743,673,169,581,1314,95,4.17,1.342,8.4,3.6,8.2
Seattle Mariners 22,22,American,90,72,0.5555555556,3.59,0,0,40,1277,623,577,186,447,1391,104,3.9,1.191,7.9,2.8,8.7
Los Angeles Angels 22,22,American,73,89,0.450617284,3.77,2,2,38,1241,668,601,168,540,1383,107,3.96,1.241,7.8,3.4,8.7
Oakland Athletics 22,22,American,60,102,0.3703703704,4.52,0,0,34,1394,770,717,195,503,1203,82,4.41,1.33,8.8,3.2,7.6
Atlanta Braves 21,21,National,88,74,0.5432098765,3.88,2,2,40,1237,656,608,183,516,1417,112,4.09,1.243,7.9,3.3,9
Philadelphia Phillies 21,21,National,82,80,0.5061728395,4.39,5,4,36,1321,745,692,200,509,1480,96,4.15,1.29,8.4,3.2,9.4
Miami Marlins 21,21,National,67,95,0.4135802469,3.96,1,0,33,1282,701,622,162,529,1381,107,4.01,1.28,8.2,3.4,8.8
New York Mets 21,21,National,77,85,0.475308642,3.9,2,1,41,1221,668,597,190,475,1453,104,4.03,1.23,8,3.1,9.5
Washington Nationals 21,21,National,65,97,0.4012345679,4.8,1,0,36,1364,820,743,247,548,1346,84,4.87,1.371,8.8,3.5,8.7
Milwaukee Brewers 21,21,National,95,67,0.5864197531,3.5,2,1,44,1156,623,558,168,537,1618,119,3.72,1.179,7.2,3.4,10.1
Chicago Cubs 21,21,National,71,91,0.4382716049,4.87,1,0,40,1386,839,765,235,596,1358,87,4.88,1.403,8.8,3.8,8.7
Cincinnati Reds 21,21,National,83,79,0.512345679,4.4,1,1,41,1330,760,702,206,617,1524,107,4.34,1.357,8.3,3.9,9.6
Pittsburgh Pirates 21,21,National,61,101,0.3765432099,5.08,0,0,25,1400,833,788,213,606,1312,84,4.74,1.437,9,3.9,8.5
St.Louis Cardinals 21,21,National,90,72,0.5555555556,3.98,3,1,50,1234,672,626,152,608,1225,99,4.3,1.3,7.8,3.9,7.8
Los Angeles Dodgers 21,21,National,106,56,0.6543209877,3.01,1,0,56,1107,561,486,161,486,1599,140,3.54,1.097,6.9,3,9.9
Arizona Diamondbacks 21,21,National,52,110,0.3209876543,5.11,3,3,22,1480,893,804,232,555,1238,83,4.88,1.436,9.4,3.5,7.9
San Diego Padres 21,21,National,79,83,0.487654321,4.1,2,2,43,1277,708,651,205,516,1517,95,4.18,1.254,8,3.2,9.5
San Francisco Giants 21,21,National,107,55,0.6604938272,3.24,2,2,56,1254,594,524,151,416,1425,128,3.55,1.148,7.8,2.6,8.8
Colorado Rockies 21,21,National,74,88,0.4567901235,4.82,3,1,33,1397,796,748,196,539,1269,100,4.47,1.386,9,3.5,8.2
Baltimore Orioles 21,21,American,52,110,0.3209876543,5.84,1,1,26,1518,956,910,258,563,1234,77,5.15,1.484,9.7,3.6,7.9
Tampa Bay Rays 21,21,American,100,62,0.6172839506,3.67,1,0,42,1264,651,593,184,436,1478,111,3.79,1.168,7.8,2.7,9.1
Toronto Blue Jays 21,21,American,91,71,0.5617283951,3.91,1,1,34,1257,663,610,209,473,1468,115,4.18,1.231,8.1,3,9.4
New York Yankees 21,21,American,92,70,0.5679012346,3.74,3,2,47,1243,669,596,196,492,1569,115,3.9,1.209,7.8,3.1,9.8
Boston Red Sox 21,21,American,92,70,0.5679012346,4.26,0,0,49,1409,749,671,176,546,1527,110,3.95,1.378,8.9,3.5,9.7
Minnesota Twins 21,21,American,73,89,0.450617284,4.83,1,0,42,1392,834,762,239,484,1317,89,4.66,1.322,8.8,3.1,8.4
Detroit Tigers 21,21,American,77,85,0.475308642,4.32,2,1,42,1370,756,681,199,571,1259,99,4.6,1.367,8.7,3.6,8
Cleveland Guardians 21,21,American,80,82,0.4938271605,4.34,0,0,39,1281,727,679,216,522,1391,99,4.43,1.281,8.2,3.3,8.9
Chicago White Sox 21,21,American,93,69,0.5740740741,3.73,4,3,43,1205,636,581,182,485,1588,118,3.74,1.204,7.7,3.1,10.2
Kansas City Royals 21,21,American,74,88,0.4567901235,4.64,1,0,37,1375,788,731,189,591,1344,99,4.39,1.387,8.7,3.8,8.5
Houston Astros 21,21,American,95,67,0.5864197531,3.78,2,0,34,1231,658,607,187,549,1456,114,4.12,1.232,7.7,3.4,9.1
Texas Rangers 21,21,American,60,102,0.3703703704,4.79,0,0,31,1402,815,758,232,513,1239,93,4.76,1.344,8.9,3.2,7.8
Seattle Mariners 21,21,American,90,72,0.5555555556,4.3,1,0,51,1356,748,688,197,485,1328,97,4.26,1.278,8.5,3,8.3
Los Angeles Angels 21,21,American,77,85,0.475308642,4.69,1,0,39,1373,804,741,188,592,1453,96,4.25,1.382,8.7,3.7,9.2
Oakland Athletics 21,21,American,86,76,0.5308641975,4.02,3,3,39,1362,687,640,191,439,1332,103,4.1,1.257,8.6,2.8,8.4
