Team,Year,Runs,Hits ,Doubles,Triples,Homeruns,RBIS,SBS,BBS,SOS,BA,OBP,SLG,OPS,OPS_PLUS,TB,League,Wins,Loss,Win_Percent
Tampa Bay Rays 21,21,857,1336,288,36,222,810,88,585,1542,0.243,0.321,0.429,0.75,110,2362,American,100,62,0.6172839506
Toronto Blue Jays 21,21,846,1455,285,13,262,816,81,496,1218,0.266,0.33,0.466,0.796,113,2552,American,91,71,0.5617283951
New York Yankees 21,21,711,1266,213,12,222,666,63,621,1482,0.237,0.322,0.407,0.729,100,2169,American,92,70,0.5679012346
Boston Red Sox 21,21,829,1434,330,23,219,783,40,512,1386,0.261,0.328,0.449,0.777,106,2467,American,92,70,0.5679012346
Minnesota Twins 21,21,729,1311,271,17,228,690,54,525,1405,0.241,0.314,0.423,0.737,103,2300,American,73,89,0.450617284
Detroit Tigers 21,21,697,1299,236,37,179,675,88,490,1514,0.242,0.308,0.399,0.707,96,2146,American,77,85,0.475308642
Cleveland Guardians 21,21,717,1269,248,22,203,686,109,453,1387,0.238,0.303,0.407,0.71,94,2170,American,80,82,0.4938271605
Chicago White Sox 21,21,796,1373,275,22,190,757,57,586,1389,0.256,0.336,0.422,0.758,106,2262,American,93,69,0.5740740741
Kansas City Royals 21,21,686,1349,251,29,163,647,124,421,1258,0.249,0.306,0.396,0.702,90,2147,American,74,88,0.4567901235
Houston Astros 21,21,863,1496,299,14,221,834,53,569,1222,0.267,0.339,0.444,0.783,113,2486,American,95,67,0.5864197531
Texas Rangers 21,21,625,1254,225,24,167,598,106,433,1381,0.232,0.294,0.375,0.669,83,2028,American,60,102,0.3703703704
Seattle Mariners 21,21,697,1209,233,11,199,673,64,535,1492,0.266,0.303,0.385,0.688,92,2061,American,90,72,0.5555555556
Los Angeles Angels 21,21,723,1331,265,23,190,691,79,464,1394,0.245,0.31,0.407,0.717,93,2212,American,77,85,0.475308642
Oakland Athletics 21,21,743,1284,271,19,199,698,88,545,1349,0.238,0.317,0.406,0.723,102,2190,American,86,76,0.5308641975
